Booking Code,Name,Flight Code,Date,Checked In,Baggage Weight (kg),Baggage Volume (m^3)
DXBBA9590212242212,Grant Ho,BA959,021224,Yes,5.78,2.1
DXBBA9590212246430,Steven Gentry,BA959,021224,Yes,15.55,1.25
DXBBA9590212242142,James Smith,BA959,021224,No,11.8,1.55
DXBBA9590212245048,Larry Medina,BA959,021224,No,17.08,1.65
DXBBA9590212244388,Jeremiah Harrison,BA959,021224,Yes,22.42,2.26
DXBBA9590212249606,Thomas Crawford,BA959,021224,Yes,9.35,0.97
DXBBA9590212244253,Brittany Ryan,BA959,021224,No,32.68,1.71
DXBBA9590212249003,Julie Grimes DVM,BA959,021224,Yes,13.2,1.25
DXBBA9590212248029,Kathleen Warren,BA959,021224,No,28.86,1.74
DXBBA9590212244739,Christine Benjamin,BA959,021224,Yes,21.56,1.19
DXBBA9590212248099,Joshua Smith,BA959,021224,No,24.2,2.4
DXBBA9590212245692,Rachel Wheeler,BA959,021224,Yes,21.17,1.3
DXBBA9590212247557,Shelby Osborne,BA959,021224,Yes,29.43,1.63
DXBBA9590212248807,Sarah Hall,BA959,021224,No,7.34,0.72
DXBBA9590212244220,Scott Ayala,BA959,021224,Yes,6.17,1.49
DXBBA9590212242028,Jamie Black,BA959,021224,Yes,16.69,1.43
DXBBA9590212247539,Tiffany Farley,BA959,021224,No,20.34,1.28
DXBBA9590212244529,Devin Hall,BA959,021224,Yes,7.04,0.91
DXBBA9590212248747,Vicki Rangel,BA959,021224,No,8.75,1.05
DXBBA9590212243661,Janice Arnold,BA959,021224,No,11.6,0.69
DXBBA9590212241769,Amy Crawford,BA959,021224,No,28.36,1.12
DXBBA9590212246440,Alexandra Ortiz,BA959,021224,Yes,13.9,2.43
DXBBA9590212242421,Bradley Golden,BA959,021224,Yes,12.83,0.62
DXBBA9590212241591,Ashley Jackson,BA959,021224,No,34.43,2.21
DXBBA9590212248690,Carrie York,BA959,021224,No,24.29,0.62
DXBBA9590212247941,Kimberly Martin,BA959,021224,Yes,34.22,2.3
DXBBA9590212243783,Diana Barnett,BA959,021224,Yes,17.73,1.82
DXBBA9590212243519,Ricky Murphy,BA959,021224,Yes,22.42,1.81
DXBBA9590212245950,Aaron Conner,BA959,021224,No,5.71,2.36
DXBBA9590212248167,Brian Shaw,BA959,021224,No,25.08,2.25
DXBBA9590212241432,Richard Morales,BA959,021224,No,13.5,1.6
DXBBA9590212245241,Mario Robbins,BA959,021224,Yes,26.61,1.61
DXBBA9590212242297,Amy Buchanan,BA959,021224,Yes,17.79,0.79
DXBBA9590212248564,Marie Miller,BA959,021224,No,33.0,0.61
DXBBA9590212242824,Ashley Day,BA959,021224,No,6.27,1.54
DXBBA9590212249748,Kimberly Wells,BA959,021224,No,27.09,1.26
DXBBA9590212243332,Olivia Gutierrez,BA959,021224,Yes,6.19,0.56
DXBBA9590212248274,Michael Smith,BA959,021224,No,6.68,2.47
DXBBA9590212241156,David Bailey,BA959,021224,No,29.37,0.57
DXBBA9590212244073,Sean Chapman,BA959,021224,Yes,7.74,2.32
DXBBA9590212243578,Michael Phillips,BA959,021224,No,18.33,0.87
DXBBA9590212241399,Heidi Torres,BA959,021224,No,21.96,1.94
DXBBA9590212246158,Molly Knight,BA959,021224,Yes,29.47,1.3
DXBBA9590212241274,Melissa Patterson,BA959,021224,Yes,24.13,1.92
DXBBA9590212245296,Brian Fuller,BA959,021224,Yes,33.68,1.63
DXBBA9590212247704,Christopher Tanner,BA959,021224,Yes,26.1,0.89
DXBBA9590212247399,Tyler Smith,BA959,021224,Yes,22.67,2.01
